Discipline (link to medalists list),Contested,Number of,,Medals awarded,,,,Athlete(s) with the most medals,Athlete(s) with the most gold medals
,,Olympics,Medal events,"1st place, gold medalist(s)","2nd place, silver medalist(s)","3rd place, bronze medalist(s)",Total,(gold–silver–bronze),
,,(up to conclusion of 2024),(in 2024),,,,,,
Ice hockey,Summer: 1920,23,2,24,24,24,72, Jayna Hefford (CAN) (4–1–0), Jayna Hefford (CAN) (4–1–0)
,Winter: since 1924[c],,,,,,, Hayley Wickenheiser (CAN) (4–1–0), Hayley Wickenheiser (CAN) (4–1–0)
,,,,,,,,, Caroline Ouellette (CAN) (4–0–0)
Luge,Since 1964,14,4,37,35,36,108, Natalie Geisenberger (GER) (6–0–1), Natalie Geisenberger (GER) (6–0–1)
,,,,,,,,, Tobias Arlt (GER) (6–0–0)
,,,,,,,,, Tobias Wendl (GER) (6–0–0)
Nordic combined,Since 1924,22,3,40,40,40,120, Felix Gottwald (AUT) (3–1–3), Samppa Lajunen (FIN) (3–2–0)
,,,,,,,,, Felix Gottwald (AUT) (3–1–3)
,,,,,,,,, Eric Frenzel (GER) (3–1–2)
,,,,,,,,, Ulrich Wehling (GDR) (3–0–0)
Short track speed skating,Since 1992,7,8,32,32,32,96, Arianna Fontana (ITA) (2–4–5), Viktor Ahn (RUS) /
,,,,,,,,, Ahn Hyun-soo (KOR) (6–0–2)
Skeleton,1924; 1948;,6,2,14,14,14,42, Lizzy Yarnold (GBR) (2–0–0), Lizzy Yarnold (GBR) (2–0–0)
,since 2002,,,,,,, Martins Dukurs (LAT) (0–2–0),
,,,,,,,, John Heaton (USA) (0–2–0),
,,,,,,,, Gregor Stähli (SUI) (0–0–2),
Ski jumping,Since 1924,22,4,53,54,52,159, Matti Nykänen (FIN) (4–1–0), Matti Nykänen (FIN) (4–1–0)
,,,,,,,,, Simon Ammann (SUI) (4–0–0)
Snowboarding,Since 1998,5,10,51,51,51,103, Shaun White (USA) (3–0–0), Shaun White (USA) (3–0–0)
,,,,,,,, Jamie Anderson (USA) (2–1–0),
,,,,,,,, Lindsey Jacobellis (USA) (2–1–0),
,,,,,,,, Vic Wild (RUS) (2–0–1),
,,,,,,,, Ayumu Hirano (JPN) (1–2–0),
,,,,,,,, Benjamin Karl (AUT) (1–1–1),
,,,,,,,, Max Parrot (CAN) (1–1–1),
,,,,,,,, Zoi Sadowski-Synnott (NZL) (1–1–1),
,,,,,,,, Kelly Clark (USA) (1–0–2),
,,,,,,,, Žan Košir (SLO) (0–1–2),
,,,,,,,, Mark McMorris (CAN) (0–0–3),
Speed skating,Since 1924,22,12,152,155,148,455, Ireen Wüst (NED) (6–5–1), Ireen Wüst (NED) (6–5–1)
,,,,,,,,, Lidiya Skoblikova (URS) (6–0–0)
